2025-05-25 17:45:26,691 INFO    MainThread:46860 [wandb_init.py:setup_run_log_directory():724] Logging user logs to c:\Users\halil\Documents\asap-review-rag\notebooks\wandb\run-20250525_174526-3lm3zd5a\logs\debug.log
2025-05-25 17:45:26,692 INFO    MainThread:46860 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to c:\Users\halil\Documents\asap-review-rag\notebooks\wandb\run-20250525_174526-3lm3zd5a\logs\debug-internal.log
2025-05-25 17:45:26,692 INFO    MainThread:46860 [wandb_init.py:monkeypatch_ipython():643] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x00000223A7CD33E0>
2025-05-25 17:45:26,692 INFO    MainThread:46860 [wandb_init.py:init():852] calling init triggers
2025-05-25 17:45:26,692 INFO    MainThread:46860 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'retriever': 'Sentence-BERT (all-MiniLM-L6-v2)', 'input': 'title + intro', 'aggregation': 'softmax-weighted voting', 'k': 10, 'baseline_accuracy': 0.43, 'preliminary_accuracy': 0.6, '_wandb': {}}
2025-05-25 17:45:26,693 INFO    MainThread:46860 [wandb_init.py:init():893] starting backend
2025-05-25 17:45:26,693 INFO    MainThread:46860 [wandb_init.py:init():897] sending inform_init request
2025-05-25 17:45:26,694 INFO    MainThread:46860 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-05-25 17:45:26,694 INFO    MainThread:46860 [wandb_init.py:init():907] backend started and connected
2025-05-25 17:45:26,695 INFO    MainThread:46860 [wandb_run.py:_label_probe_notebook():1376] probe notebook
2025-05-25 17:45:26,696 INFO    MainThread:46860 [wandb_run.py:_label_probe_notebook():1386] Unable to probe notebook: 'charmap' codec can't decode byte 0x81 in position 8297: character maps to <undefined>
2025-05-25 17:45:26,696 INFO    MainThread:46860 [wandb_init.py:init():1005] updated telemetry
2025-05-25 17:45:26,754 INFO    MainThread:46860 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-25 17:45:27,367 INFO    MainThread:46860 [wandb_init.py:init():1104] starting run threads in backend
2025-05-25 17:45:27,506 INFO    MainThread:46860 [wandb_run.py:_console_start():2573] atexit reg
2025-05-25 17:45:27,506 INFO    MainThread:46860 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-25 17:45:27,506 INFO    MainThread:46860 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-25 17:45:27,506 INFO    MainThread:46860 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-25 17:45:27,506 INFO    MainThread:46860 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-25 17:45:27,508 INFO    MainThread:46860 [wandb_init.py:_post_run_cell_hook():613] [no run ID] resuming backend
